Distribution,BlockSize_Elements,BlockSize_KB,Buckets,Time_s,Bandwidth_GBs
uniform,16384,64.0,2,0.0979736,40.8273
uniform,16384,64.0,4,0.0978743,40.8688
uniform,16384,64.0,8,0.0982232,40.7236
uniform,16384,64.0,16,0.0981412,40.7576
uniform,16384,64.0,32,0.0974123,41.0626
uniform,16384,64.0,64,0.0974965,41.0271
uniform,16384,64.0,128,0.0977822,40.9072
uniform,16384,64.0,256,0.10009,39.9639
uniform,16384,64.0,512,0.0997954,40.082
uniform,16384,64.0,1024,0.102866,38.8855
uniform,65536,256.0,2,0.0990559,40.3812
uniform,65536,256.0,4,0.0997781,40.0889
uniform,65536,256.0,8,0.0970898,41.199
uniform,65536,256.0,16,0.098627,40.5568
uniform,65536,256.0,32,0.0981154,40.7683
uniform,65536,256.0,64,0.0968143,41.3162
uniform,65536,256.0,128,0.0991072,40.3603
uniform,65536,256.0,256,0.097612,40.9785
uniform,65536,256.0,512,0.0980165,40.8095
uniform,65536,256.0,1024,0.0995695,40.1729
uniform,262144,1024.0,2,0.0973689,41.0809
uniform,262144,1024.0,4,0.0973382,41.0938
uniform,262144,1024.0,8,0.0980203,40.8079
uniform,262144,1024.0,16,0.0997462,40.1018
uniform,262144,1024.0,32,0.0984595,40.6258
uniform,262144,1024.0,64,0.0979919,40.8197
uniform,262144,1024.0,128,0.0973392,41.0934
uniform,262144,1024.0,256,0.0986355,40.5533
uniform,262144,1024.0,512,0.0977216,40.9326
uniform,262144,1024.0,1024,0.0981465,40.7554
uniform,1048576,4096.0,2,0.101945,39.237
uniform,1048576,4096.0,4,0.101946,39.2365
uniform,1048576,4096.0,8,0.101233,39.513
uniform,1048576,4096.0,16,0.102678,38.9568
uniform,1048576,4096.0,32,0.103115,38.7915
uniform,1048576,4096.0,64,0.107736,37.1278
uniform,1048576,4096.0,128,0.101605,39.3683
uniform,1048576,4096.0,256,0.104601,38.2404
uniform,1048576,4096.0,512,0.101494,39.4113
uniform,1048576,4096.0,1024,0.100992,39.6072
sorted,16384,64.0,2,0.0983484,40.6717
sorted,16384,64.0,4,0.098201,40.7328
sorted,16384,64.0,8,0.0980893,40.7791
sorted,16384,64.0,16,0.0989238,40.4352
sorted,16384,64.0,32,0.0987732,40.4968
sorted,16384,64.0,64,0.0997371,40.1054
sorted,16384,64.0,128,0.100466,39.8144
sorted,16384,64.0,256,0.102466,39.0373
sorted,16384,64.0,512,0.102686,38.9537
sorted,16384,64.0,1024,0.102934,38.8598
sorted,65536,256.0,2,0.0989071,40.442
sorted,65536,256.0,4,0.102017,39.2093
sorted,65536,256.0,8,0.101951,39.2344
sorted,65536,256.0,16,0.100685,39.728
sorted,65536,256.0,32,0.101545,39.3915
sorted,65536,256.0,64,0.0999841,40.0064
sorted,65536,256.0,128,0.0991326,40.35
sorted,65536,256.0,256,0.100876,39.6528
sorted,65536,256.0,512,0.10079,39.6867
sorted,65536,256.0,1024,0.101115,39.559
sorted,262144,1024.0,2,0.0997713,40.0917
sorted,262144,1024.0,4,0.108453,36.8824
sorted,262144,1024.0,8,0.0995602,40.1767
sorted,262144,1024.0,16,0.097414,41.0619
sorted,262144,1024.0,32,0.0970045,41.2352
sorted,262144,1024.0,64,0.0988175,40.4787
sorted,262144,1024.0,128,0.101176,39.535
sorted,262144,1024.0,256,0.100034,39.9862
sorted,262144,1024.0,512,0.0998418,40.0634
sorted,262144,1024.0,1024,0.100708,39.7187
sorted,1048576,4096.0,2,0.114761,34.8549
sorted,1048576,4096.0,4,0.115961,34.4945
